mes,pais,fuente,n
2026-01,,Facebook Ads,1
2026-01,,Meta Ads,11
2026-01,Guatemala,Referido,2
2026-01,Guatemala,Partner,2
2026-01,Guatemala,Llamada en Frio,9
2026-01,Guatemala,Página web,56
2026-01,Guatemala,Chat / WhatsApp,27
2026-01,Guatemala,Cliente se comunicó,4
2026-01,Guatemala,Meta Ads,21
2026-02,Guatemala,Referido,2
2026-02,Guatemala,Llamada en Frio,2
2026-02,Guatemala,Página web,60
2026-02,Guatemala,Chat / WhatsApp,18
2026-02,Guatemala,Cliente se comunicó,3
2026-02,Guatemala,Meta Ads,29
2026-02,El Salvador,Página web,3
2026-02,El Salvador,Facebook Lead,2
2026-02,El Salvador,Meta Ads,7
2026-03,Guatemala,Referido,3
2026-03,Guatemala,Página web,71
2026-03,Guatemala,Chat / WhatsApp,10
2026-03,Guatemala,Cliente se comunicó,3
2026-03,Guatemala,WHATSAPP - Qpaypro,1
2026-03,Guatemala,Meta Ads,28
2026-03,El Salvador,Página web,4
2026-03,El Salvador,Cliente se comunicó,1
2026-03,El Salvador,Facebook Lead,1
2026-03,El Salvador,Meta Ads,5
2026-04,Guatemala,Referido,2
2026-04,Guatemala,Partner,1
2026-04,Guatemala,Llamada en Frio,2
2026-04,Guatemala,Página web,63
2026-04,Guatemala,Eventos,1
2026-04,Guatemala,Chat / WhatsApp,7
2026-04,Guatemala,Cliente se comunicó,2
2026-04,Guatemala,WHATSAPP - Qpaypro,1
2026-04,Guatemala,Meta Ads,7
2026-04,El Salvador,Página web,4
2026-04,El Salvador,Chat / WhatsApp,1
2026-04,El Salvador,Meta Ads,17
2026-05,Guatemala,Partner,1
2026-05,Guatemala,Llamada en Frio,1
2026-05,Guatemala,Página web,87
2026-05,Guatemala,Chat / WhatsApp,9
2026-05,Guatemala,Cliente se comunicó,7
2026-05,Guatemala,WHATSAPP - Qpaypro,1
2026-05,Guatemala,Meta Ads,5
2026-05,El Salvador,Cliente se comunicó,1
2026-05,El Salvador,Meta Ads,7
2026-06,Guatemala,Referido,1
2026-06,Guatemala,Partner,1
2026-06,Guatemala,Llamada en Frio,4
2026-06,Guatemala,Página web,62
2026-06,Guatemala,Chat / WhatsApp,5
2026-06,Guatemala,Cliente se comunicó,3
2026-06,Guatemala,Meta Ads,17
2026-06,El Salvador,Página web,4
2026-06,El Salvador,Cliente se comunicó,2
2026-06,El Salvador,Meta Ads,3
2026-07,Guatemala,Referido,1
2026-07,Guatemala,Partner,2
2026-07,Guatemala,Llamada en Frio,3
2026-07,Guatemala,Página web,53
2026-07,Guatemala,Chat / WhatsApp,4
2026-07,Guatemala,Cliente se comunicó,5
2026-07,Guatemala,WHATSAPP - Qpaypro,2
2026-07,Guatemala,Meta Ads,28
2026-07,El Salvador,Referido,6
2026-07,El Salvador,Llamada en Frio,1
2026-07,El Salvador,Página web,2
2026-07,El Salvador,Facebook Lead,1
2026-07,El Salvador,Meta Ads,1
2026-08,Guatemala,Partner,1
2026-08,Guatemala,Llamada en Frio,3
2026-08,Guatemala,Página web,61
2026-08,Guatemala,Chat / WhatsApp,1
2026-08,Guatemala,Cliente se comunicó,4
2026-08,Guatemala,Meta Ads,10
2026-08,El Salvador,Página web,1
2026-08,El Salvador,Cliente se comunicó,2
2026-08,El Salvador,Meta Ads,10
2026-09,Guatemala,Referido,1
2026-09,Guatemala,Llamada en Frio,2
2026-09,Guatemala,Página web,21
2026-09,Guatemala,Chat / WhatsApp,2
2026-09,Guatemala,Cliente se comunicó,2
2026-09,Guatemala,WHATSAPP - Qpaypro,1
2026-09,Guatemala,Meta Ads,2
