mes,pais,fuente,estado,n
2026-01,Guatemala,Chat / WhatsApp,No Contactado,1
2026-01,Guatemala,Página web,Pre Calificado,9
2026-01,El Salvador,Página web,Pre Calificado,10
2026-02,Guatemala,Referido,No Contactado,2
2026-02,Guatemala,Página web,,2
2026-02,Guatemala,Página web,Pre Calificado,3
2026-02,Guatemala,Página web,Contactado,1
2026-02,El Salvador,Página web,Pre Calificado,1
2026-02,Guatemala,Chat / WhatsApp,No Contactado,1
2026-03,Guatemala,Chat / WhatsApp,No Contactado,1
2026-03,El Salvador,Página web,Pre Calificado,2
2026-04,Guatemala,Llamada en Frio,En Seguimiento,1
2026-04,El Salvador,Meta Ads,No Contactado,1
2026-04,El Salvador,Meta Ads,En Seguimiento,1
2026-06,Guatemala,Cliente se comunicó,En Seguimiento,1
2026-07,El Salvador,Eventos,No Contactado,1
2026-07,El Salvador,Llamada en Frio,En Seguimiento,1
2026-07,Guatemala,Cliente se comunicó,No Contactado,1
2026-07,El Salvador,Facebook Lead,En Seguimiento,1
