mes,pais,fuente,estado,n
2026-01,,Facebook Ads,Contacto no calificado - Negocio Prohibido,1
2026-01,,Facebook Ads,No les interesa (Solo quieren Información),3
2026-01,,Facebook Ads,No contesta,11
2026-01,,Facebook Ads,Contacto Duplicado,1
2026-01,,Facebook Ads,No tiene listo el negocio,1
2026-01,,Facebook Ads,No tiene regimen,1
2026-01,,Facebook Ads,Información plan FREE,1
2026-01,,Meta Ads,Contacto no Calificado - No cuenta con RTU,3
2026-01,,Meta Ads,Contacto no calificado - Negocio Prohibido,2
2026-01,,Meta Ads,No les interesa (Solo quieren Información),7
2026-01,,Meta Ads,No contesta,10
2026-01,,Meta Ads,Sin Datos,4
2026-01,,Meta Ads,No tiene listo el negocio,7
2026-01,,Meta Ads,No tiene regimen,15
2026-01,,Meta Ads,SPAM,1
2026-01,,Meta Ads,No tiene plata suficiente para invertir,1
2026-01,Guatemala,Llamada en Frio,No contesta,1
2026-01,Guatemala,Página web,No contesta,1
2026-01,Guatemala,Página web,SPAM,5
2026-01,Guatemala,Página web,Contactar por IA,1
2026-01,Guatemala,Chat / WhatsApp,Contacto ya es Cliente - Requiere Soporte,1
2026-01,Guatemala,Chat / WhatsApp,No contesta,2
2026-01,Guatemala,Cliente se comunicó,No les interesa (Solo quieren Información),1
2026-01,Guatemala,Meta Ads,Contacto no Calificado - No cuenta con RTU,1
2026-01,Guatemala,Meta Ads,Contacto no calificado - Negocio Prohibido,1
2026-01,Guatemala,Meta Ads,No les interesa (Solo quieren Información),30
2026-01,Guatemala,Meta Ads,No contesta,43
2026-01,Guatemala,Meta Ads,Contacto Duplicado,5
2026-01,Guatemala,Meta Ads,Contacto no Calificado - No tiene RRSS o página Web,4
2026-01,Guatemala,Meta Ads,Ya contactó con otra pasarela de pago,6
2026-01,Guatemala,Meta Ads,No tiene listo el negocio,8
2026-01,Guatemala,Meta Ads,No tiene regimen,18
2026-01,Guatemala,Meta Ads,Información plan FREE,1
2026-01,Guatemala,Meta Ads,No tiene plata suficiente para invertir,3
2026-01,Guatemala,Meta Ads,Cuotas Banrural e Industrial,2
2026-01,Guatemala,Meta Ads,Necesita POS físico,1
2026-01,Guatemala,Meta Ads,Número Incorrecto,3
2026-01,El Salvador,Meta Ads,No contesta,1
2026-01,El Salvador,Meta Ads,No tiene regimen,1
2026-01,El Salvador,Meta Ads,El Salvador Seguimiento,1
2026-02,,Página web,No les interesa (Solo quieren Información),5
2026-02,,Página web,No contesta,4
2026-02,,Página web,Contacto Duplicado,8
2026-02,,Página web,SPAM,1
2026-02,Guatemala,Llamada en Frio,Contacto Duplicado,2
2026-02,Guatemala,Página web,No les interesa (Solo quieren Información),1
2026-02,Guatemala,Chat / WhatsApp,No contesta,1
2026-02,Guatemala,Cliente se comunicó,No contesta,2
2026-02,Guatemala,Cliente se comunicó,Contacto Duplicado,1
2026-02,Guatemala,Meta Ads,Contacto no calificado,1
