pais,fuente,razon,n
,Meta Ads,No contesta,1
,Facebook Ads,En espera de una respuesta,1
Guatemala,Página web,No tiene Patente,1
Guatemala,Chat / WhatsApp,No tiene listo el negocio,1
Guatemala,Meta Ads,No tiene listo el negocio,7
Guatemala,Cliente se comunicó,Necesitaba POS físico,1
Guatemala,Meta Ads,Otra afiliación con otra empresa,1
Guatemala,Chat / WhatsApp,No contesta,2
Guatemala,Facebook Ads,No contesta,2
Guatemala,Facebook Lead,No contesta,1
Guatemala,Meta Ads,No contesta,19
Guatemala,Página web,No contesta,1
Guatemala,Referido,No contesta,1
Guatemala,Chat / WhatsApp,En espera de una respuesta,11
Guatemala,Cliente se comunicó,En espera de una respuesta,4
Guatemala,Facebook Ads,En espera de una respuesta,1
Guatemala,Llamada en Frio,En espera de una respuesta,1
Guatemala,Meta Ads,En espera de una respuesta,9
El Salvador,Cliente se comunicó,En espera de una respuesta,1
