mes,pais,fuente,etapa,razon,n,monto
2026-01,,,closed won,,1,0
2026-01,,Facebook Ads,Stand By,,1,1850
2026-01,,Meta Ads,closed lost,% comisión alto,2,3700
2026-01,,Meta Ads,closed lost,No contesta,6,10915
2026-01,Guatemala,Partner,closed won,,2,1850
2026-01,Guatemala,Chat / WhatsApp,closed won,,15,27025
2026-01,Guatemala,Chat / WhatsApp,Stand By,,4,7050
2026-01,Guatemala,Cliente se comunicó,closed won,,2,3700
2026-01,Guatemala,Cliente se comunicó,Stand By,,2,3515
2026-01,Guatemala,Facebook Ads,Stand By,,1,1850
2026-01,Guatemala,Facebook Lead,closed won,,1,1850
2026-01,Guatemala,Llamada en Frio,closed won,,5,7460
2026-01,Guatemala,Llamada en Frio,Stand By,,1,1850
2026-01,Guatemala,Meta Ads,closed won,,3,5550
2026-01,Guatemala,Meta Ads,Stand By,,1,1665
2026-01,Guatemala,Página web,closed won,,56,0
2026-01,Guatemala,Referido,closed won,,1,1850
2026-01,Guatemala,Referido,Stand By,,1,1850
2026-01,Guatemala,Llamada en Frio,closed lost,No le es funcional,1,1850
2026-01,Guatemala,Meta Ads,closed lost,No le es funcional,1,1850
2026-01,Guatemala,Meta Ads,closed lost,Negocio con operaciones ilegales,1,1850
2026-01,Guatemala,Chat / WhatsApp,closed lost,Otra afiliación con otra empresa,2,3000
2026-01,Guatemala,Meta Ads,closed lost,Otra afiliación con otra empresa,2,3330
2026-01,Guatemala,Chat / WhatsApp,closed lost,No contesta,4,7030
2026-01,Guatemala,Llamada en Frio,closed lost,No contesta,1,1850
2026-01,Guatemala,Meta Ads,closed lost,No contesta,7,12415
2026-01,Guatemala,Meta Ads,closed lost,Anualidad muy alta,2,3515
2026-01,Guatemala,Chat / WhatsApp,closed lost,Solo quería información,3,5550
2026-01,Guatemala,Llamada en Frio,closed lost,Solo quería información,1,1850
2026-02,,,Calificado Interesado,,1,6.17
2026-02,,Meta Ads,closed lost,Otra afiliación con otra empresa,1,1572.5
2026-02,,Facebook Ads,closed lost,No contesta,1,1850
2026-02,Guatemala,Chat / WhatsApp,closed won,,7,11965
2026-02,Guatemala,Chat / WhatsApp,Stand By,,5,9250
2026-02,Guatemala,Cliente se comunicó,closed won,,1,1850
2026-02,Guatemala,Facebook Lead,Stand By,,1,1850
2026-02,Guatemala,Llamada en Frio,closed won,,1,1850
2026-02,Guatemala,Meta Ads,closed won,,3,5350
