﻿Post Id,Post URL,Page Id,Created Time,Type,Message,Reactions Like Total,Reactions Love Total,Reactions Wow Total,Reactions Haha Total,Reactions Sorry Total,Reactions Anger Total,Comments,Shares,Impressions,Engaged Fan,Link,Total Reactions
1692583127699872_1582848420520408,https://facebook.com/1692583127699872_1582848420520408,1692583127699872,31 Aug 2026 04:30:00 PM,photo,"Muy pronto, una nueva manera de cobrar en grande llegará a tu negocio. ¡Espéralo! ? #emprendimiento #qpaypro #muypronto",1,0,0,0,0,0,0,0,87,,https://www.facebook.com/photo.php?fbid=1582848393853744&set=a.504567235015204&type=3,1
1692583127699872_1579972290808021,https://facebook.com/1692583127699872_1579972290808021,1692583127699872,28 Aug 2026 10:30:00 AM,photo,Nosotros te ayudamos a llevar tu negocio al siguiente nivel. ?? #emprendimiento #guatemala,1,0,0,0,0,0,0,0,161,,https://www.facebook.com/photo.php?fbid=1579972250808025&set=a.504567235015204&type=3,1
1692583127699872_1577504487721468,https://facebook.com/1692583127699872_1577504487721468,1692583127699872,25 Aug 2026 04:54:10 PM,video,"La importancia de la resiliencia junto a ByAnaCeci 

#empresas #resiliencia #emprendedoresexitosos",2,1,0,0,0,0,0,0,396,,https://www.facebook.com/reel/2170964453824675/,3
1692583127699872_1576298821175368,https://facebook.com/1692583127699872_1576298821175368,1692583127699872,24 Aug 2026 09:30:00 AM,photo,Tenemos la solución para que tengas tus ventas bajo control. ???,1,0,0,0,0,0,1,0,235,,https://www.facebook.com/photo.php?fbid=1576298787842038&set=a.504567235015204&type=3,1
1692583127699872_1573634564775127,https://facebook.com/1692583127699872_1573634564775127,1692583127699872,21 Aug 2026 10:00:05 AM,photo,"Tener tu negocio, no debe de ser complicado. Controla todo en un mismo lugar. ?? #emprendimiento #guatemala #elsalvador",1,0,0,0,0,0,0,0,325,,https://www.facebook.com/photo.php?fbid=1573634531441797&set=a.504567235015204&type=3,1
1692583127699872_1571904721614778,https://facebook.com/1692583127699872_1571904721614778,1692583127699872,19 Aug 2026 10:33:22 AM,photo,Las ventas en línea es lo de ahora. Comienza a vender sin salir de tu casa. ?? #tiendaenlinea #guatemala #emprendimiento,0,0,0,0,0,0,0,0,237,,https://www.facebook.com/photo.php?fbid=1571904704948113&set=a.504567235015204&type=3,0
1692583127699872_1571166948355222,https://facebook.com/1692583127699872_1571166948355222,1692583127699872,18 Aug 2026 03:09:36 PM,video,Un ecosistema creado para tu negocio,1,0,0,0,0,0,2,0,374,,https://www.facebook.com/reel/2048896109064478/,1
1692583127699872_1570052288466688,https://facebook.com/1692583127699872_1570052288466688,1692583127699872,17 Aug 2026 09:01:57 AM,photo,,2,0,0,0,0,0,0,0,410,,https://www.facebook.com/photo.php?fbid=1570052261800024&set=a.504567235015204&type=3,2
1692583127699872_1567402348731682,https://facebook.com/1692583127699872_1567402348731682,1692583127699872,14 Aug 2026 11:39:42 AM,video,tu negocio en la palma de tu mano,3,0,0,0,0,0,0,0,436,,https://www.facebook.com/reel/1740624230527224/,3
1692583127699872_1565556792249571,https://facebook.com/1692583127699872_1565556792249571,1692583127699872,12 Aug 2026 11:18:23 AM,video,Nada vuelve hacer igual junto a Qpaypro,2,0,0,0,0,0,0,0,421,,https://www.facebook.com/reel/1582569683278953/,2
1692583127699872_928937496174304,https://facebook.com/1692583127699872_928937496174304,1692583127699872,03 Aug 2026 09:08:17 AM,photo,,0,0,0,0,0,0,0,0,304,,https://www.facebook.com/qpaypro,0
1692583127699872_1554653976673186,https://facebook.com/1692583127699872_1554653976673186,1692583127699872,31 Jul 2026 12:32:49 PM,photo,"Muy pronto, una nueva forma de cobrar ? espéralo.",3,0,0,0,0,0,0,0,331,,https://www.facebook.com/photo.php?fbid=1554653953339855&set=a.504567235015204&type=3,3
1692583127699872_1552830280188889,https://facebook.com/1692583127699872_1552830280188889,1692583127699872,29 Jul 2026 12:19:58 PM,video,the new evolution era,6,2,0,0,0,0,2,0,642,,https://www.facebook.com/reel/1650510670418045/,8
1692583127699872_1551815793623671,https://facebook.com/1692583127699872_1551815793623671,1692583127699872,28 Jul 2026 10:36:06 AM,photo,Cobrar con un enlace en cuestión de segundo es posible. ¡Deja de perder ventas! ??,3,0,0,0,0,0,1,0,299,,https://www.facebook.com/photo.php?fbid=1551815773623673&set=a.504567235015204&type=3,3
1692583127699872_1548490070622910,https://facebook.com/1692583127699872_1548490070622910,1692583127699872,24 Jul 2026 05:22:24 PM,photo,Tu negocio nunca descansa y los PROfesionales tampoco. Adquiere tu tienda en línea y vende 24/7?,2,0,0,0,0,0,0,0,285,,https://www.facebook.com/photo.php?fbid=1548490050622912&set=a.504567235015204&type=3,2
1692583127699872_1547683407370243,https://facebook.com/1692583127699872_1547683407370243,1692583127699872,23 Jul 2026 06:58:18 PM,video,"Esto le hicimos pensando en ti, para que tu negocio sea mas PRO",4,0,0,0,0,1,0,0,528,,https://www.facebook.com/reel/1017263590936027/,5
1692583127699872_1546546960817221,https://facebook.com/1692583127699872_1546546960817221,1692583127699872,22 Jul 2026 10:00:04 AM,photo,El sistema más completo y PROfesional del mercado. ? #MuyPronto,4,0,0,0,0,1,0,0,364,,https://www.facebook.com/photo.php?fbid=1546546927483891&set=a.504567235015204&type=3,5
1692583127699872_1545731674232083,https://facebook.com/1692583127699872_1545731674232083,1692583127699872,21 Jul 2026 10:27:42 AM,video,La llamada que hará mas PRO tu negocio,2,1,0,0,0,1,0,0,649,,https://www.facebook.com/reel/3982437231886149/,4
1692583127699872_1544835114321739,https://facebook.com/1692583127699872_1544835114321739,1692583127699872,20 Jul 2026 09:37:48 AM,photo,La plataforma más completa pensado para los PROfesionales ??,4,0,0,0,0,1,0,0,307,,https://www.facebook.com/photo.php?fbid=1544835080988409&set=a.504567235015204&type=3,5
1692583127699872_1544834577655126,https://facebook.com/1692583127699872_1544834577655126,1692583127699872,20 Jul 2026 09:36:52 AM,photo,"Tenemos todo para ti, cobrar, operar y crecer ? lleva tu negocio a lo más PRO.",1,0,0,0,0,1,0,0,245,,https://www.facebook.com/photo.php?fbid=1544834567655127&set=a.504567235015204&type=3,2
1692583127699872_1544833817655202,https://facebook.com/1692583127699872_1544833817655202,1692583127699872,20 Jul 2026 09:35:34 AM,photo,Algo nuevo comienza aquí ? #qpaypro,2,0,0,0,0,1,0,0,254,,https://www.facebook.com/photo.php?fbid=1544833800988537&set=a.504567235015204&type=3,3
1692583127699872_1544200844385166,https://facebook.com/1692583127699872_1544200844385166,1692583127699872,19 Jul 2026 03:05:00 PM,photo,"Tu tienda ya existe. Ahora hazla cobrar. ⚙️?
QPayPro se integra con Shopify, WooCommerce y las principales plataformas de ecommerce en minutos. ? www.qpaypro.com",2,0,0,0,0,1,0,0,347,,https://www.facebook.com/photo.php?fbid=1544200814385169&set=a.504567235015204&type=3,3
1692583127699872_1542647907873793,https://facebook.com/1692583127699872_1542647907873793,1692583127699872,17 Jul 2026 04:23:13 PM,album,"¿Tu tienda ya está en Shopify, WooCommerce o VTEX? Perfecto. Solo le falta una cosa: cobrar con tarjeta. ? Conecta nuestro plugin y empieza a recibir pagos sin cambiar nada de tu tienda. 
? www.qpaypro.com",2,0,0,0,0,1,0,0,303,,https://www.facebook.com/504840204987907/posts/1542647907873793,3
1692583127699872_1541815187957065,https://facebook.com/1692583127699872_1541815187957065,1692583127699872,16 Jul 2026 05:05:20 PM,video,"Conecta, vende y cobra. QPayPro tiene integraciones con las plataformas de eCommerce más usadas en Guatemala y El Salvador. Ya contamos con cientos de tiendas activas. La tuya puede ser la siguiente.",1,0,0,0,0,1,0,0,374,,https://www.facebook.com/reel/1549915606580110/,2
1692583127699872_1540975468041037,https://facebook.com/1692583127699872_1540975468041037,1692583127699872,15 Jul 2026 06:00:00 PM,photo,"Todo tu negocio, en una sola pantalla. ?✨
Con QPay Pro, crear y gestionar tu tienda en línea es así de simple.
? www.qpaypro.com",2,0,0,0,0,1,0,0,356,,https://www.facebook.com/photo.php?fbid=1540975438041040&set=a.504567235015204&type=3,3
1692583127699872_1539884404816810,https://facebook.com/1692583127699872_1539884404816810,1692583127699872,14 Jul 2026 11:55:31 AM,video,"Tu tienda abierta mientras duermes, mientras desayunas y mientras trabajas en otra cosa. Así viven nuestros clientes con su tienda en línea en QPayPro. La tuya puede estar lista hoy.",3,0,0,0,0,1,0,0,465,,https://www.facebook.com/reel/2038837180852003/,4
1692583127699872_1539234248215159,https://facebook.com/1692583127699872_1539234248215159,1692583127699872,13 Jul 2026 06:00:06 PM,album,"Tu negocio no tiene límites. Tu tienda tampoco debería. ?
Crea tu tienda en línea con QPayPro y vende mientras duermes, viajas o atiendes a otro cliente.
? www.qpaypro.com",4,0,0,0,0,1,0,0,275,,https://www.facebook.com/504840204987907/posts/1539234248215159,5
1692583127699872_1536752985129952,https://facebook.com/1692583127699872_1536752985129952,1692583127699872,10 Jul 2026 06:33:00 PM,photo,"Un mensaje. Un link. Una venta cerrada. ??
Cobra por WhatsApp, Instagram o donde estén tus clientes. Sin esperar transferencias, sin perder ventas. ? www.qpaypro.com",1,0,0,0,0,1,0,0,297,,https://www.facebook.com/photo.php?fbid=1536752955129955&set=a.504567235015204&type=3,2
1692583127699872_1535674135237837,https://facebook.com/1692583127699872_1535674135237837,1692583127699872,09 Jul 2026 10:55:28 AM,video,"Cobra por Instagram, WhatsApp, correo o donde quieras ? Solo creas tu link, lo compartes y listo. Ya contamos con miles de negocios en Guatemala que dejaron de cobrar en efectivo gracias a esto.",4,1,0,0,0,1,0,0,438,,https://www.facebook.com/reel/1051806250839503/,6
1692583127699872_1535024468636137,https://facebook.com/1692583127699872_1535024468636137,1692583127699872,08 Jul 2026 05:31:05 PM,album,"¿Sigues persiguiendo capturas de transferencia? ?‍?
Mejor envía un link y deja que el pago llegue solo. 
? www.qpaypro.com",3,0,0,0,0,1,0,0,291,,https://www.facebook.com/504840204987907/posts/1535024468636137,4
1692583127699872_1534152245390026,https://facebook.com/1692583127699872_1534152245390026,1692583127699872,07 Jul 2026 05:30:44 PM,video,"Olvídate de los ""te hago la transferencia ahorita"" que nunca llegan ? Con QPayPro envías un link de pago y tu cliente paga con tarjeta en segundos. Nuestros clientes ya cobran así todos los días.",1,0,0,0,0,1,0,0,402,,https://www.facebook.com/reel/2243515733147100/,2
1692583127699872_1531128439025740,https://facebook.com/1692583127699872_1531128439025740,1692583127699872,04 Jul 2026 11:00:00 AM,photo,"Muestra el código. Recibe el pago. Así de simple. ⚡
Con QPay Pro, tu QR es tu caja registradora. Llévalo a donde vaya tu negocio. 
? www.qpaypro.com",1,0,0,0,0,1,0,0,200,,https://www.facebook.com/photo.php?fbid=1531128269025757&set=a.504567235015204&type=3,2
1692583127699872_1530213909117193,https://facebook.com/1692583127699872_1530213909117193,1692583127699872,03 Jul 2026 10:50:25 AM,video,"Ponlo en tu mostrador, en tu menú o en tu stand de feria. Tus clientes escanean el QR y pagan con tarjeta en segundos. Nuestros clientes ya lo usan y sus filas vuelan.",2,0,0,0,0,1,0,0,532,,https://www.facebook.com/reel/1651804209211764/,3
1692583127699872_1529489889189595,https://facebook.com/1692583127699872_1529489889189595,1692583127699872,02 Jul 2026 05:06:09 PM,album,"Tu cliente ya tiene el celular en la mano. Solo falta que tú tengas el QR. ?
Genera tu código QR con QPay Pro y empieza a cobrar en segundos: sin enredos, sin excusas.
? www.qpaypro.com",1,0,0,0,0,1,0,0,252,,https://www.facebook.com/504840204987907/posts/1529489889189595,2
1692583127699872_1528582399280344,https://facebook.com/1692583127699872_1528582399280344,1692583127699872,01 Jul 2026 05:30:21 PM,video,"¿Sabías que puedes conectar Qpaypro a tu tienda sin saber programar? ? Ya contamos con plugins listos para instalar en las plataformas más populares del mercado. Más ventas, menos complicaciones.",2,0,0,0,0,1,0,0,427,,https://www.facebook.com/reel/1557679549475555/,3
1692583127699872_1527640946041156,https://facebook.com/1692583127699872_1527640946041156,1692583127699872,30 Jun 2026 05:30:03 PM,album,"Tener una tienda en Shopify o WooCommerce y no cobrar bien es como tener un Ferrari sin gasolina. ⚡
? www.qpaypro.com",1,0,0,0,0,1,0,0,228,,https://www.facebook.com/504840204987907/posts/1527640946041156,2
1692583127699872_1524841956321055,https://facebook.com/1692583127699872_1524841956321055,1692583127699872,27 Jun 2026 05:10:26 PM,video,"Cobra con tarjeta en Shopify en 3 simples pasos
#shopify #integracion #ventas",1,0,0,0,0,1,0,0,329,,https://www.facebook.com/reel/1333400591563959/,2
1692583127699872_1523094813162436,https://facebook.com/1692583127699872_1523094813162436,1692583127699872,25 Jun 2026 06:00:05 PM,album,"Los negocios que escalan no tienen tiempo de perseguir pagos. ? Configura una vez y el sistema hace el resto. ??
? www.qpaypro.com",2,0,0,0,0,1,0,0,278,,https://www.facebook.com/504840204987907/posts/1523094813162436,3
1692583127699872_1522119699926614,https://facebook.com/1692583127699872_1522119699926614,1692583127699872,24 Jun 2026 05:00:22 PM,video,"¿Alguna vez te preguntaste cómo Netflix cobra solo cada mes sin perseguir a nadie? ? Eso se llama cobro automático por suscripción, y tu negocio ya puede hacer lo mismo con QPayPro ?",3,0,0,0,0,1,0,0,424,,https://www.facebook.com/reel/1507170954542176/,4
1692583127699872_1520388513433066,https://facebook.com/1692583127699872_1520388513433066,1692583127699872,22 Jun 2026 05:40:33 PM,video,"Nuestros clientes conectaron su propio dominio, subieron su catálogo y empezaron a vender en línea el mismo día ? Tú también puedes. Crea tu tienda con QPayPro",1,0,0,0,0,1,0,0,365,,https://www.facebook.com/reel/1650309776259545/,2
1692583127699872_1519387353533182,https://facebook.com/1692583127699872_1519387353533182,1692583127699872,21 Jun 2026 02:30:00 PM,photo,"Esa tensión de buscar la tarjeta, escribir los datos, esperar... ?‍? Ya no tiene que existir. Qoiin lo resuelve de una vez. ??
? www.qpaypro.com",1,0,0,0,0,1,1,0,403,,https://www.facebook.com/photo.php?fbid=1519387286866522&set=a.504567235015204&type=3,2
1692583127699872_1518588006946450,https://facebook.com/1692583127699872_1518588006946450,1692583127699872,20 Jun 2026 06:01:23 PM,video,"Shopify, WooCommerce, VTEX, Prestashop, Ecwid... ya contamos con integraciones para las plataformas más populares del mercado ? Conecta QPayPro a tu tienda y empieza a cobrar con tarjeta hoy mismo. 
#shopify #woocommerce #pagos",1,0,0,0,0,1,1,0,401,,https://www.facebook.com/reel/1391206982848544/,2
1692583127699872_1517657523706165,https://facebook.com/1692583127699872_1517657523706165,1692583127699872,19 Jun 2026 04:00:00 PM,photo,"No tienes que empezar de cero ni cambiar lo que ya construiste. ? Qpaypro se conecta a lo que ya tienes. ?️?
? www.qpaypro.com",1,0,0,0,0,1,0,0,267,,https://www.facebook.com/photo.php?fbid=1517657500372834&set=a.504567235015204&type=3,2
1692583127699872_1516578113814106,https://facebook.com/1692583127699872_1516578113814106,1692583127699872,18 Jun 2026 11:00:33 AM,video,"Links de Pago, Tienda en Linea y toda una plataforma integrada ahora con nuestro POS en El Salvador ??",2,0,0,0,0,1,0,0,371,,https://www.facebook.com/reel/4222486588001662/,3
1692583127699872_1515892797215971,https://facebook.com/1692583127699872_1515892797215971,1692583127699872,17 Jun 2026 04:30:05 PM,album,"Imaginate despertar con pedidos nuevos sin haber hecho nada. ? Así se siente tener una tienda en línea que trabaja por ti. ??️
? www.qpaypro.com",0,0,0,0,0,1,0,0,170,,https://www.facebook.com/504840204987907/posts/1515892797215971,1
1692583127699872_1515880813883836,https://facebook.com/1692583127699872_1515880813883836,1692583127699872,17 Jun 2026 04:06:26 PM,photo,"Les deseamos a toda esos padres, que luchan cada día por sus sueños y las de sus familias ? #FelizDiaDelPadre ??",1,0,0,0,0,1,0,0,194,,https://www.facebook.com/photo.php?fbid=1515880793883838&set=a.504567235015204&type=3,2
1692583127699872_1515062197299031,https://facebook.com/1692583127699872_1515062197299031,1692583127699872,16 Jun 2026 07:00:04 PM,album,"Nuestros clientes en El Salvador,  ya confían en nosotros. ¿Y tú que esperás? para formar parte del ecosistema de cobro más completo ???",1,3,0,0,0,1,1,0,278,,https://www.facebook.com/504840204987907/posts/1515062197299031,5
1692583127699872_1513851707420080,https://facebook.com/1692583127699872_1513851707420080,1692583127699872,15 Jun 2026 10:30:25 AM,video,"Nuestros clientes abrieron su tienda en línea sin saber de tecnología y hoy venden todos los días ? Con QPayPro armas tu catálogo, configuras envíos y cobras con tarjeta, todo desde un solo lugar.",0,0,0,0,0,1,0,0,361,,https://www.facebook.com/reel/3931149777015436/,1
